unify name,binance name,okex name
CVC.BNB,CVCBNB,
CVC.BTC,CVCBTC,CVC-BTC
CVC.ETH,CVCETH,
CVC.USDT,CVCUSDT,CVC-USDT
CVP.BUSD,CVPBUSD,
CVP.ETH,CVPETH,
CVP.USDT,,CVP-USDT
CVT.BTC,,CVT-BTC
CVT.USDT,,CVT-USDT
DAI.BNB,DAIBNB,
DAI.BTC,DAIBTC,
DAI.BUSD,DAIBUSD,
DAI.USDT,DAIUSDT,DAI-USDT
DAO.USDT,,DAO-USDT
DASH.BNB,DASHBNB,
DASH.BTC,DASHBTC,DASH-BTC
DASH.BUSD,DASHBUSD,
DASH.ETH,DASHETH,DASH-ETH
DASH.USDT,DASHUSDT,DASH-USDT
DATA.BTC,DATABTC,
DATA.BUSD,DATABUSD,
DATA.ETH,DATAETH,
DATA.USDT,DATAUSDT,
DCR.BNB,DCRBNB,
DCR.BTC,DCRBTC,DCR-BTC
DCR.BUSD,DCRBUSD,
DCR.USDT,DCRUSDT,DCR-USDT
DEGO.BTC,DEGOBTC,
DEGO.BUSD,DEGOBUSD,
DEGO.USDT,DEGOUSDT,
DENT.BTC,DENTBTC,
DENT.ETH,DENTETH,
DENT.USDT,DENTUSDT,
DEP.USDK,,DEP-USDK
DEP.USDT,,DEP-USDT
DEXE.BUSD,DEXEBUSD,
DEXE.ETH,DEXEETH,
DF.BUSD,DFBUSD,
DF.ETH,DFETH,
DGB.BNB,DGBBNB,
DGB.BTC,DGBBTC,DGB-BTC
DGB.BUSD,DGBBUSD,
DGB.USDT,DGBUSDT,DGB-USDT
DHT.ETH,,DHT-ETH
DHT.USDT,,DHT-USDT
DIA.BNB,DIABNB,
DIA.BTC,DIABTC,
DIA.BUSD,DIABUSD,
DIA.ETH,,DIA-ETH
DIA.USDT,DIAUSDT,DIA-USDT
DLT.BNB,DLTBNB,
DLT.BTC,DLTBTC,
DLT.ETH,DLTETH,
DMD.USDT,,DMD-USDT
DMG.USDT,,DMG-USDT
DNA.BTC,,DNA-BTC
DNA.USDT,,DNA-USDT
DNT.BTC,DNTBTC,
DNT.BUSD,DNTBUSD,
DNT.ETH,DNTETH,
DNT.USDT,DNTUSDT,
DOCK.BTC,DOCKBTC,
DOCK.ETH,DOCKETH,
DOCK.USDT,DOCKUSDT,
DODO.BTC,DODOBTC,
DODO.BUSD,DODOBUSD,
DODO.USDT,DODOUSDT,
DOGE.AUD,DOGEAUD,
DOGE.BNB,DOGEBNB,
DOGE.BRL,DOGEBRL,
DOGE.BTC,DOGEBTC,
DOGE.BUSD,DOGEBUSD,
DOGE.EUR,DOGEEUR,
DOGE.GBP,DOGEGBP,
DOGE.PAX,DOGEPAX,
DOGE.TRY,DOGETRY,
DOGE.USDC,DOGEUSDC,
DOGE.USDK,,DOGE-USDK
DOGE.USDT,DOGEUSDT,DOGE-USDT
DORA.USDT,,DORA-USDT
DOT.BIDR,DOTBIDR,
DOT.BKRW,DOTBKRW,
DOT.BNB,DOTBNB,
DOT.BRL,DOTBRL,
DOT.BTC,DOTBTC,DOT-BTC
DOT.BUSD,DOTBUSD,
DOT.ETH,,DOT-ETH
DOT.EUR,DOTEUR,
DOT.GBP,DOTGBP,
DOT.NGN,DOTNGN,
DOT.TRY,DOTTRY,
DOT.USDT,DOTUSDT,DOT-USDT
DOTDOWN.USDT,DOTDOWNUSDT,
DOTUP.USDT,DOTUPUSDT,
DREP.BNB,DREPBNB,
DREP.BTC,DREPBTC,
DREP.USDT,DREPUSDT,
DUSK.BNB,DUSKBNB,
DUSK.BTC,DUSKBTC,
DUSK.PAX,DUSKPAX,
DUSK.USDC,DUSKUSDC,
DUSK.USDT,DUSKUSDT,
EASY.BTC,EASYBTC,
EASY.ETH,EASYETH,
EC.USDK,,EC-USDK
EC.USDT,,EC-USDT
EDO.BTC,EDOBTC,
EDO.ETH,EDOETH,
EGLD.BNB,EGLDBNB,
EGLD.BTC,EGLDBTC,EGLD-BTC
EGLD.BUSD,EGLDBUSD,
EGLD.EUR,EGLDEUR,
EGLD.USDT,EGLDUSDT,EGLD-USDT
EGT.BTC,,EGT-BTC
EGT.ETH,,EGT-ETH
EGT.USDT,,EGT-USDT
ELF.BTC,ELFBTC,ELF-BTC
ELF.ETH,ELFETH,
ELF.USDT,,ELF-USDT
EM.USDK,,EM-USDK
EM.USDT,,EM-USDT
ENG.BTC,ENGBTC,
ENG.ETH,ENGETH,
ENJ.BNB,ENJBNB,
ENJ.BRL,ENJBRL,
ENJ.BTC,ENJBTC,ENJ-BTC
ENJ.BUSD,ENJBUSD,
ENJ.ETH,ENJETH,
ENJ.EUR,ENJEUR,
ENJ.GBP,ENJGBP,
ENJ.USDT,ENJUSDT,ENJ-USDT
EOS.BNB,EOSBNB,
EOS.BTC,EOSBTC,EOS-BTC
EOS.BUSD,EOSBUSD,
EOS.ETH,EOSETH,EOS-ETH
EOS.EUR,EOSEUR,
EOS.PAX,EOSPAX,
EOS.TRY,EOSTRY,
EOS.TUSD,EOSTUSD,
EOS.USDC,EOSUSDC,EOS-USDC
EOS.USDK,,EOS-USDK
EOS.USDT,EOSUSDT,EOS-USDT
EOSBEAR.BUSD,EOSBEARBUSD,
EOSBEAR.USDT,EOSBEARUSDT,
EOSBULL.BUSD,EOSBULLBUSD,
EOSBULL.USDT,EOSBULLUSDT,
EOSDOWN.USDT,EOSDOWNUSDT,
EOSUP.USDT,EOSUPUSDT,
EPS.BTC,EPSBTC,
EPS.BUSD,EPSBUSD,
EPS.USDT,EPSUSDT,
ERD.BNB,ERDBNB,
ERD.BTC,ERDBTC,
ERD.BUSD,ERDBUSD,
ERD.PAX,ERDPAX,
ERD.USDC,ERDUSDC,
ERD.USDT,ERDUSDT,
ETC.BNB,ETCBNB,
ETC.BTC,ETCBTC,ETC-BTC
ETC.BUSD,ETCBUSD,
ETC.ETH,ETCETH,ETC-ETH
ETC.OKB,,ETC-OKB
ETC.PAX,ETCPAX,
ETC.TUSD,ETCTUSD,
ETC.USDC,ETCUSDC,ETC-USDC
ETC.USDK,,ETC-USDK
ETC.USDT,ETCUSDT,ETC-USDT
ETH.AUD,ETHAUD,
ETH.BIDR,ETHBIDR,
ETH.BKRW,ETHBKRW,
ETH.BRL,ETHBRL,
ETH.BTC,ETHBTC,ETH-BTC
ETH.BUSD,ETHBUSD,
ETH.DAI,ETHDAI,ETH-DAI
ETH.EUR,ETHEUR,
ETH.GBP,ETHGBP,
ETH.NGN,ETHNGN,
ETH.PAX,ETHPAX,
ETH.RUB,ETHRUB,
ETH.TRY,ETHTRY,
ETH.TUSD,ETHTUSD,
ETH.USDC,ETHUSDC,ETH-USDC
ETH.USDK,,ETH-USDK
ETH.USDT,ETHUSDT,ETH-USDT
ETH.ZAR,ETHZAR,
ETHBEAR.BUSD,ETHBEARBUSD,
ETHBEAR.USDT,ETHBEARUSDT,
ETHBULL.BUSD,ETHBULLBUSD,
ETHBULL.USDT,ETHBULLUSDT,
ETHDOWN.USDT,ETHDOWNUSDT,
ETHUP.USDT,ETHUPUSDT,
ETM.USDT,,ETM-USDT
EUR.BUSD,EURBUSD,
EUR.USDT,EURUSDT,
EVX.BTC,EVXBTC,
EVX.ETH,EVXETH,
EXE.USDT,,EXE-USDT
FAIR.USDT,,FAIR-USDT
FET.BNB,FETBNB,
FET.BTC,FETBTC,
FET.USDT,FETUSDT,
FIL.BNB,FILBNB,
FIL.BTC,FILBTC,FIL-BTC
FIL.BUSD,FILBUSD,
FIL.ETH,,FIL-ETH
FIL.USDT,FILUSDT,FIL-USDT
FILDOWN.USDT,FILDOWNUSDT,
FILUP.USDT,FILUPUSDT,
FIO.BNB,FIOBNB,
FIO.BTC,FIOBTC,
FIO.BUSD,FIOBUSD,
FIO.USDT,FIOUSDT,
FIRO.BTC,FIROBTC,
FIRO.ETH,FIROETH,
FIRO.USDT,FIROUSDT,
FIS.BTC,FISBTC,
FIS.BUSD,FISBUSD,
FIS.USDT,FISUSDT,
FLM.BNB,FLMBNB,
FLM.BTC,FLMBTC,
FLM.BUSD,FLMBUSD,
FLM.USDT,FLMUSDT,FLM-USDT
FLOW.BTC,,FLOW-BTC
FLOW.ETH,,FLOW-ETH
FLOW.USDT,,FLOW-USDT
FOR.BTC,FORBTC,
FOR.BUSD,FORBUSD,
FRONT.BTC,FRONTBTC,
FRONT.BUSD,FRONTBUSD,
FRONT.ETH,FRONTETH,FRONT-ETH
FRONT.USDT,,FRONT-USDT
FSN.USDK,,FSN-USDK
FSN.USDT,,FSN-USDT
FTM.BNB,FTMBNB,
FTM.BTC,FTMBTC,
FTM.PAX,FTMPAX,
FTM.TUSD,FTMTUSD,
FTM.USDC,FTMUSDC,
FTM.USDK,,FTM-USDK
FTM.USDT,FTMUSDT,FTM-USDT
FTT.BNB,FTTBNB,
FTT.BTC,FTTBTC,
FTT.USDT,FTTUSDT,
FUEL.BTC,FUELBTC,
FUEL.ETH,FUELETH,
FUN.BTC,FUNBTC,FUN-BTC
FUN.ETH,FUNETH,
FUN.USDT,FUNUSDT,
FXS.BTC,FXSBTC,
FXS.BUSD,FXSBUSD,
GAL.USDT,,GAL-USDT
GAS.BTC,GASBTC,GAS-BTC
GAS.ETH,,GAS-ETH
GAS.USDT,,GAS-USDT
GBP.BUSD,GBPBUSD,
GBP.USDT,GBPUSDT,
GHST.BUSD,GHSTBUSD,
GHST.ETH,GHSTETH,GHST-ETH
GHST.USDT,,GHST-USDT
GLM.BTC,GLMBTC,GLM-BTC
GLM.ETH,GLMETH,
GLM.USDT,,GLM-USDT
GNT.BNB,GNTBNB,
GNT.BTC,GNTBTC,
GNT.ETH,GNTETH,
GNX.BTC,,GNX-BTC
GO.BNB,GOBNB,
GO.BTC,GOBTC,
GRS.BTC,GRSBTC,
GRS.ETH,GRSETH,
GRT.BTC,GRTBTC,GRT-BTC
GRT.BUSD,GRTBUSD,
GRT.ETH,GRTETH,
GRT.EUR,GRTEUR,
GRT.USDT,GRTUSDT,GRT-USDT
GTO.BNB,GTOBNB,
GTO.BTC,GTOBTC,GTO-BTC
GTO.ETH,GTOETH,
GTO.PAX,GTOPAX,
GTO.TUSD,GTOTUSD,
GTO.USDC,GTOUSDC,
GTO.USDT,GTOUSDT,GTO-USDT
GUSD.BTC,,GUSD-BTC
GUSD.USDT,,GUSD-USDT
GVT.BTC,GVTBTC,
GVT.ETH,GVTETH,
GXS.BTC,GXSBTC,
GXS.ETH,GXSETH,
GXS.USDT,GXSUSDT,
HARD.BNB,HARDBNB,
HARD.BTC,HARDBTC,
HARD.BUSD,HARDBUSD,
HARD.USDT,HARDUSDT,
HBAR.BNB,HBARBNB,
HBAR.BTC,HBARBTC,HBAR-BTC
HBAR.BUSD,HBARBUSD,
HBAR.USDK,,HBAR-USDK
HBAR.USDT,HBARUSDT,HBAR-USDT
